| Word in English | Part of speech | Odia Translation |
| --- | --- | --- |
| crucify | Verb | କୁରୁଶ୍‌ ତା AG Ag |
| କାନାଦ୍‌ |  | |
| cruel | Adjective | ଗାଟି କାଷ୍ଟୀମ୍‌ |
| cruelty | Noun | ଞେର୍‌ ଅର୍ତୁଣ୍ଠ SE a SAIN ଭଦାନାଦ୍‌ |
| crush,rub | Verb | ରାକାନାଦ୍‌ |
| crutches of pillar | Noun | ଗୁଞ୍ଜୋ ପାଙ୍ଗାଲ୍‌ |
| crutches on the tree | Noun | କମ୍‌ ମା ପାଙ୍ଗାଲ୍‌ |
| cry | Verb | କେୟାନାଦ୍‌ |
| cry up | Verb | ମେଲ୍‌ ତା ମାଡ଼ାନାଦ୍‌ , ତୁଙ୍ଗାନାଦ୍‌ |
| cry down | Verb | ପେର୍ଲାନାଦ୍‌ |
| cry for | Verb | କାଷ୍ଟାମ୍‌ AGIAN, AIA |
| cry out | Verb | ବେଢ଼ିୟା EME ତେ କେୟାନାଦ୍‌,କେଭାନାଦ୍‌ |
| cubit | Noun | କୁଟ୍ଟା |
| cubit, 2 span, measure | Noun | ମୂରେଡ଼୍‌ |
| cuckoo bird | Noun | କୋଇଲି ପିଟେ |
| cucumber | Noun | ଦସା କାୟ୍‌ |
| cucumber melon | Noun | ଓେକୂମ୍‌ |
| cudgel | Noun | G&ERIGIR ବାଣି |
| cultivable land | Noun | ଲାଙ୍କା |
| cumin | Noun | ଜୀରାକ୍‌ |
| cunning | Noun | କାନି କାଣ୍ଡ କିନୋଣ୍ଡ |
| cup, glass | Noun | ଗାଲାସ |
| cupboard | Noun | ପୀଡା |
| cure | Noun | ସାୟ୍‌ ଆଦାନାଦ୍‌ |
| ୦୩111005 | Noun | ଇଷ୍ଟାମ୍‌ ଆଦାନାଦ୍‌ |
