| Word in English        | Part of Speech    | Odiya Translation    |
|-----------------------|------------------|----------------------|
| କାଲ୍‌-ପିରି          | Noun             | କାରାମ୍‌               |
| CAA                   | -                | -                    |
| grinding curry-stuff  | Noun             | କାରାମ୍‌               |
| ନୂରାନାଦ୍‌          | Noun             | କାମ୍‌ କା କାଲ୍‌, ପାସ୍‌ ପ୍‌ |
| ଜାତା କାଲ୍‌         | -                | -                    |
| grinding stone for curry-stuff | Noun   | କାମ୍‌ କା କାଲ୍‌,ପାସ୍‌ ପ୍‌ |
| କାଲ୍‌               | Noun             | ଗର୍‌ କାଲ୍‌           |
| grindstone            | Noun             | ଗର୍‌ କାଲ୍‌           |
| griping pain in the limps and joints | Noun | ପିଭ୍ତାନାଦ୍‌, ପିଜ ମିନ୍ଦେ |
| gripping              | Noun             | ଡକା(ଡଙ୍କା) କାଚାନାଦ୍‌ |
| er it                 | Noun             | agal                 |
| grocery shop man      | Noun             | ନୁଙ୍କା ald ଓମ୍‌    |
| ମାନୋର୍‌            | -                | -                    |
| ଆମାନୋର୍‌           | -                | -                    |
| habit                 | ?/୧///.          | ରୋଜିନ୍‌ ଆଲ୍‌ ଓଟ୍‌ |
| had come              | Verb             | ୱାସ୍‌ ମାତ୍‌ ତର୍‌   |
| hail                  | Interjection     | ଜେୟ୍‌ ERA           |
| hail stone            | Noun             | ଆଜୁରଗାଡା ଆଦୁରଗାଡା,ଆଦୁର୍କ୍‌ |
| hair                  | Noun             | କେଲକ୍‌               |
| hair become grey      | Intransitive verb| କେଲ୍‌ କ୍‌ Al ତା      |
| hair 0୯୦             | Noun             | କୂପ୍‌ ପାର୍‌         |
| hair get lengthened   | Adjective        | FAN କ୍‌ ଜାରିଭା        |
| hair get loosened     | Adjective        | କେଲ୍‌ କ୍‌ ଆାଭାନାଙ୍କୁ Q ପାନାଦ୍‌ |
| hair not comb         | Verb             | କେଲ୍‌ କ୍‌           |
| GAGA, AE AEM          | -                | -                    |
| hair of the body      | Noun             | ରୋମା                |
| hair of witchdoctor   | Noun             | ଜାଟ୍‌                |
