| Word in English | Part of Speech         | Odiya Translation |
|-----------------|------------------------|------------------|
| ମିନ୍ଦେ               | Verb                   | ମିନ୍ଦେ             |
| it               | Pronoun                | ଇଦ୍‌              |
| it doesn't (become)cold | Connective           | AACR             |
| it, she sitting | Verb                   | ଆଦ୍‌ କୁଦି        |
| ମିନ୍ଦେ               | Pronoun                | ଦିନାଦ୍‌, ଦାନାଦ୍‌ |
| itches, scabies | Noun                   | ପାୟ୍‌            |
| ତେମ୍‌, ଦୂଲ୍‌ ଞେଚୋମିନ୍ଦେ, ଗାଜୁ | Verb  | yam              |
| itching          | Verb                   | ତାଡ଼୍‌ Gal        |
| ABM, GR ଞ୍ରେୟ୍‌ |                        | ସମିନ୍ଦେ, ତୁୟାନାଦ୍‌ |
| itchy rash      | Noun                   | ଗାଳୁ ବଗା        |
| ivory            | Noun                   | ଏନ୍‌ ପାଲ୍‌ କ୍‌ 6S GET |
| ତାଦ୍‌              |                        |                   |
| join             | Verb                   | କାଲ୍‌ ପା         |
| joint            | Noun                   | ଡ଼ୂଣ୍‌ ଶ୍‌ Al, Am |
| joint the bride with bride | Verb        | ଲାଗାମ୍‌ କାଲ୍‌ ପାନାଦ୍‌ |
| joker ୨୧/୮୮. ମିଡିକିତଣ୍ଡ |                      |                   |
| jostling, rubbing | Noun               | ନକ୍‌ କି          |
| ତୁରୁସାନାଦ୍‌, ଆଚ୍ଚାନାଦ୍‌            | Verb |                   |
| journey          | Noun                   | ସେଲ୍‌ ତାନାଦ୍‌, ଆଦାନ୍‌ ଦାନ୍‌ |
| ଦାନ୍‌              |                       |                   |
| joy, gaiety, pleasure | Noun             | AGI            |
| jubilation       | Noun                   | ସାର୍ଦାତ୍‌ ପାଣ୍ଡୁମ୍‌ |
| judge            | Noun                   | ନାୟାମ୍‌, ବିଚାର୍‌ |
| ମାଡ଼ାନୋଣ୍ଡ             |                      |                   |
|                      | Noun                   | ସାମାଦାନାମ୍‌       |
