| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| kneel        | Noun           | ନେଲ୍‌ GIF କୁଦାନାଦ୍‌ |
| kneel down   | Verb           | ମୋର୍‌ ମିଣ୍ଡା ଉର୍ସକାଟ୍‌ |
| knife        | Noun           | କାଚେର୍‌, ଜାଟ୍‌ |
| knife cutting | Noun           | କାଚେର୍‌ ତେଗ୍‌ ତା-ତାଲ୍‌ ଗ୍ ତା |
| knife,sword  | Noun           | ସୁର୍କାଚେର |
| knit, weave  | Verb           | ପିନୁ, ଆଲ୍‌ ଲାନାଦ୍‌ |
| knock down   | Verb           | ଓାଡ଼୍‌ ସି, ରେତି ନେଲ୍‌ସ ଞାଟାନାଦ୍‌ |
| knock at     | Verb           | ଗୁମାମ୍‌ , ମାର୍‌ ଦିନ୍‌ ରେତାନାଦ୍୍‌, ତାଲ୍‌ ସାନାଦ୍‌ |
| knock down   | Verb           | ଉଚିତାନାଦ୍‌,ଉଚ୍‌ ଚି ପେଦାଙ୍ଗାନାଦ୍‌ |
| knock up     | Verb           | ଗୁମାମ୍‌ ତିନ୍‌ ଓାଡ଼୍‌ ସି,ତାଲ୍‌ ସି ଉଶ୍‌ କାଡ଼୍‌ ନୁଞ୍ଜିକୁଞ୍ଚି ତେତାନାଦ୍‌ |
| knot         | Noun           | ଗାଟ୍‌,ମୁଲା |
| know         | †୮୮୮         | ପୁନ୍ଦାନାଦ୍‌ |
| knowingly   | Adverb         | J& Q& |
| knowledge    | Noun           | ବୁଦି |
| kola man     | Noun           | ପୁଜେର୍‌ |
| Koya         | Noun           | କୋୟା |
| Koya doctor  | Noun           | IAPR, AIGSQ |
| Koya man     | Noun           | କୋୟିତଣ୍ତ |
| Koya woman   | Noun           | କୋୟ୍‌ GI |
| Koya word    | Noun           | କୋୟା ଗଟ୍‌ |
