| Word in English   | Part of Speech | Odiya Translation |
| :---------------: | :------------:| :---------------:|
| ରିସିତ୍‌  | Noun | ଲୋ ଜଙ୍ଗଲ୍‌, କେଟେକ୍‌ |
| ପଦାଲା ,ମାରା ମାନ୍ଦାନାଦ୍‌  | Adjective | ସୁଦୂଲା ଅବସ୍ଥା, ସୁତଳ ମାନ୍ଦାନାଦ୍‌ |
| ତା ମାନ୍ଦାନୋର୍‌ | Noun | ସୁତଳ, ରୁଣା, ପର୍ବତାରୋହ |
| ବାଲ୍‌ | Adjective | ନିମ୍ନ |
| lower back tooth | Noun | ଅଡ଼ିଗି ଦାନ୍ତ |
| ପାଲ୍‌ କ୍‌ ପାଲ୍‌ କ୍‌ | Noun | ନିମ୍ନ ଓଟି |
| lower the head | Adjective | ନିମ୍ନ ଶୀର୍ଷା |
| AGAI AIG କ୍‌ କାନାଦ୍‌ , | Noun | ଲୁସିଫାର୍‌ |
| ମାନ୍ଦାନୋଣ୍ଡ,ବାଡ଼ିୟା | Verb | ତିଆର୍‌, ତିଆରି ହେବା |
| ତୁଙ୍ଗାନାଦ୍‌ | Verb | ଗଡ଼ି କରିବା |
| ତାନାଦ୍‌ | Noun | ଚୁମ୍ବନାଦ୍‌ |
| କେତାନାଦ୍‌ | Verb | ପଛା କରିବା |
| ରାନାଦ୍‌ | Verb | ସାମାନ୍ୟ କରିବା |
| make at | Verb | କରିବା |
| make correct | Verb | ସଠିକ କରିବା |
| make for | Verb | ପର୍ଯ୍ୟ୍ୟାପ୍ତ କରିବା |
| make good | Verb | ଭଲ କରିବା |
| make known | Adverb | ପ୍ରକାଶ କରିବା |
