| Word in English    | Part of Speech | Odia Translation |
|--------------------|----------------|-----------------|
| କାରାମ୍‌            | Noun           | ବଣିଜ୍ଯ     |
| ଏଓ୍‌               | Adverb         | ସଠିକ୍‌        |
| ସାୟାମ୍‌, ଓାମ୍ମାନାଦ୍‌ ତୀସାନାଦ୍‌      | Noun           | ସଂଧିକଳନ      |
| ଆସ୍‌ ସାନାଦ୍‌ ପାଡ଼ିୟ୍‌          | Verb           | ଆସିବା       |
| ମାଡ଼ାନୋର୍‌          | Noun           | ବଣିଜ୍ଯାଳୟ    |
| ସିଲେ               | Noun           | ଦୋକାନ        |
| QQQ                | Adverb         | ଅଧରେ         |
| ଇଲୁକୁଟେ            | Noun           | କ୍ଷମା         |
| ଉସୁର୍‌ ଜୀଞାମ୍‌      | Noun/Adjective| ଦୟାଲୁ       |
| ସାର୍ଦା,କୁସେଲ୍‌       | Noun           | ଉଲ୍ଲାସ       |
| ଜୋଡ଼ା କାବୂର୍‌         | Noun           | ବାର୍‌ତାଧିକାରୀ |
| ଞ୍ଷୋଦୋନୋର୍‌         | Noun           | ମେସିଆ        |
| ଗେଲ୍‌ ପ୍‌           | Noun           | ଯୀଶୁ ଖ୍ରୀଷ୍ଟ  |
| ପିଭାଲ୍‌,ଇଲୁମ୍‌, ବାଙ୍ଗାମ୍‌ | Noun           | ଧାତୁମାଲ      |
| ଲେକେ, ପରାକାରାମ୍‌      | Noun           | ପ୍ରକ୍ରିୟା     |
| AQ                 | Adjective      | ମଧ୍ୟମା       |
| SIG Q              | Adjective      | ମଧ୍ୟମା       |
| ପାଲ୍‌              | Noun           | ମଧ୍ୟପାତଳ     |
| ନାତୃଞେଟ୍‌           | Noun           | ମଧ୍ୟବିନ୍ଦୁ    |
| AIG IG!            | Adjective      | ମଧ୍ୟସ୍ଥ      |
| ନାଢ୍‌ ଜାଲ୍‌ ନାର୍କା     | Noun           | ମଧ୍ୟରାତ୍ରି    |
| ରୂପାମ୍‌            | Noun           | ଭାବାକୃତି    |
| ଆଦାକୋର୍‌,ଆଲେ       | Verb           | ହେଉଥିଲେ      |
| ଆୟ୍ୟୋ              | Noun           | ମାଇଗ୍ରେନ୍    |
| ମାୟ୍‌ କା            | Noun           | ମାଇକ୍        |
