| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| nip off | Verb | ରଟା ପିଙ୍କାନାଦ୍‌ |
| nipping, tickling sensitive | Adjective | କିଡ୍ଲିସାନାଦ୍‌ |
| nipping-friendly | Adjective | ଗିଲ୍ଲାନାଦ୍‌ |
| nipple | Noun | ପଟ୍‌ |
| no cover | Noun | ସିମୁନ୍‌ ଇଲେ |
| no digestion | Adjective | ଆଦିଲ୍ଲେ |
| no less than | Correlative connective | ଆଦିଙ୍କ କାନ୍ନା ତାକ୍‌ ଓ, କାମ୍‌ AER |
| no motion, constipation | Noun | ପେଲାଟାମ୍‌ ଇଲେ |
| no one | Pronoun | ବେନୋଣୁ ବା MORIA |
| no one for care | Noun | ଦିକ୍‌ AN ଞ୍ଜୋର୍‌ |
| no one in the house | Noun | ସିମୁନ୍‌ ମିନ୍ଦେ |
| no one is differ | Adjective | ବେନଣ୍ଡ ଆୟଣ୍ଠ 6aca |
| no sense | Noun | ନଦିଲେ, ନୟ୍‌ ୟୋ, ନପ୍‌ ମାନୋ |
| no sooner....than | Correlative connective | ଆତା କି ଆୟ୍ୟୋ |
| NO sour | Noun | ପୁଲିଲେ |
| no value | Noun | ଆନ୍‌ ଗାଲ୍‌ Qe |
| oar, paddle | Noun | ଓଡ଼ା ଟେଡ୍‌ ବାଲା |
| obey | FIGS, FIG! | କେଞ୍ଚାନାଦ୍‌ |
