| Word | Part of Speech | Odiya Translation |
|------|----------------|------------------|
| orchard | Noun | ଗଣ୍ଡା |
| ordinary | Adjective | ମାମୁଲ୍‌ |
| Ore | Noun | ମେଲ୍‌ ତା AID, @ GAC ,ଇନୁମ୍‌ |
| organs,senses | Noun | କଣ୍ଡ,,ମୋସୋମ୍‌,ନାଲ୍‌ କା, |
| origin | Noun | ପୁଟିତ୍‌ |
| ornaments | Noun | ସିଂରାମ୍‌, ବାଙ୍ଗାମ୍‌, ନାଗା ଦେ ସୋକ୍‌ ମାଡ଼ାନାଦ୍‌ |
| orphans | Noun | ପରିୟି ପିଲ୍ଲା, ପର୍ମା ପିଲ୍ଲା |
| ostracize | Verb | ଏାଟାନାଦ୍‌ |
| other | Pronoun | ମାଲ୍‌ ଅର୍ତ୍ଣଣ୍ଟ,ମେଣ୍ଡୋର୍ତୁଣ୍ଡ,ଞ୍େର୍‌ |
| otherwise | Coordinating connective | ଇଲୁକ ପୋତି,ଇଲୁକ୍‌ କଟ୍ଟେ |
| otorrhoea | Noun | କେୱ୍‌ କାଡ଼ିୟାନାଦ୍‌ |
| ought to,should | Verb | ଆଦାୱାଲ୍‌ |
| pace | Noun | ଆଡଢ଼ୁଗୁଲ୍‌ |
| packing luggage | Verb | Ao! GAIRIQ |
| paddy | Noun | ପାଞ୍ଜି |
| paddy field | Noun | ଏୟା |
| paddy seedling | Noun | ଏନ୍‌ |
| padlock | Noun | ବେରିୟା ତାଲାମ୍‌ |
| pageant | Noun | ସୁକ୍‌ କାମ୍‌ ସେଙ୍ଗେ ଇଷ୍ଟାମ୍‌ ତେ କାର୍ଚ୍‌ ମାଡ଼ାନାଦ୍‌ |
