| Word in English     | Part of speech | Odiya Translation       |
|---------------------|----------------|-----------------------------|
| plaintive           | Noun           | ଦୁକାମ୍‌                    |
| plaited hair        |                |                             |
|                     | Verb           | ପିନୁରୁଢ଼ୋମିନ୍ଦେବେଡ଼୍‌              |
| @I1E,6EQ           |                | କୀମ୍‌                      |
| plaiting of hair    | Noun           | ଜାଡା, ଜାଟେଲ୍‌              |
| plan                | ୬୮/୮୮.          | ଉପାୟାମ୍‌                  |
| plane               | Noun           | ମଲେ, ତୁଞେମ୍‌              |
| planet              | Noun           | AQ କାକ୍‌                  |
| plant               | Verb           | ମଡ଼ତାନାଦ୍‌                 |
| plant the tree      | Verb           | Aq କାନାଦ୍‌                 |
| plant to spring up  | Intransitive Verb | A® AE ତାନାଦ୍‌          |
| plantain            | Noun           | AYE ମାଡ଼ା                   |
| planting            | Verb           | AAI, SIR କାନାଦ୍‌             |
| plants              | ?/©///.       | ଏଟୁ                        |
| plate               | Noun           | ପ୍ଲେଟ୍‌, ଗିନ୍ନା ଗିନି       |
| play                | Verb           | କାରା                      |
| play false          | Verb           | ବଲ୍‌ ଲିସାନାଦ୍‌            |
| play out            | Verb           | a0 କାର୍ସି ଆୟ୍‌ @ ଆନ୍ଦାନାଦ୍‌ |
| playmate            | Noun           | କାର୍ସାନ୍‌ ଜାଭା            |
| please              | Verb           | ସାୟାମ୍‌ ତୁଗିଂ, ମାଡ଼ି      |
| pleasure            | Adjective      | QEAM, AIG                  |
| pleats              | Verb           | J@lQ ଢେଙ୍ଗ୍‌                 |
| plenty              | Adjective      | N@ ଓା, ନାର୍ଗେ, ଦିବେଡ଼     |
| pleurisy            | Noun           | ଆଣଡ|ରୋକାମ୍‌                |
| plough              | Noun           | ଉତୁଦାନାଦ୍‌                 |
| plough share, stick | Noun           | କାର୍ରା(ନାଙ୍ଗେଲ୍‌ GI)      |
| pluck out           | Verb           | ପୂଙ୍କା ଦେତ୍‌ ତାନାତ୍‌        |
| plucking flowers    | Verb           | Qarl @Q ତାନାଦ୍‌            |
| plunder             | Verb           | @@ ଡୋଦାନାଦ୍‌                |

Note: Some of the words didn't have a part of speech mentioned in the raw data, so the second column for those words is left blank.
