|Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| add | Verb | କାଲ୍‌ ପାନାଦ୍‌ |
| adjacently | Preposition | ମୋୟି ମିନ୍ଦେ |
| administrator | Noun | DISA ସାରେ |
| admit | Verb | ନାମ୍‌ କାମ୍‌ GIG ଏତାନାଦ୍‌ |
| adopted son | Noun | AQ ତା ମାର୍‌ |
| adoption | Noun | ମାର୍‌ ମାୟାଡ଼୍‌ ଶ୍‌ କ୍‌ ଆଦାନାତ୍‌-ଆଦିକାର୍‌, ତାନାୱଓ ପିଲ୍ଲା ଆଦାନାଙ୍କ୍‌ ପଡ଼୍‌ ପାନାଦ୍‌ |
| adulterous | Adjective | MIS, ତାନାମ୍‌ |
| adultery | Noun | dG ଭାର୍‌ , ଲାଞ୍ଜା-କାରାପ୍‌, MIR VQ , ଜୁଟାମ୍‌ AIGA |
| advantage | Adjective | ଲାବାମ୍‌ |
| advice | Noun | ମେଲ୍‌ ତା ମାଟା ତେ ବୋଦିସାନାଦ୍‌ |
| Aegle marmelous tree | Noun | ମାଡ଼ ମାଡ଼ା |
| Aeroplane | Noun | DAG ଜାହାଜ୍‌ |
| affect | Noun | କାଷ୍ଟାମ୍‌ ବାର୍ତାନାଦ୍‌ |
| affectionately | Adverb | ପ୍ରେମାତେ |
| affliction | Noun | ତିପ୍‌ ପାଲ୍‌ |
| afraid | Adjective | 69SIFIQ |
| afresh | Adverb | R@l ଲେକେ |
| after | Adposition | ପେର୍କେ |
| after a long time | Preposition | ବେଚର୍‌ AQ ପେର୍‌ କେ |
| after birth | Noun | 6AIGQ ASIA |
