| Word in English        | Part of Speech     | Odiya Translation    |
|-----------------------|--------------------|---------------------|
| twisted thread        | Noun               | ଜୋପ୍‌ ପା            |
|                       |                    | ମୁରୁମ୍‌ ଜାମିଲି ଏାଟାନାଦ୍‌  |
| twisting              | Noun               | ପିନୁରୁଞାଟାନାଦ୍‌      |
|                       |                    | ପିରି ଓାଟାନାଦ୍‌         |
| two                   | Numeral            | ରୋଣୁ                |
| two rupee note        | Noun               | ରେଣୁ ରୂପିନ ନଟ୍‌    |
| two-2                 | Adjective          | BAY                  |
| two-females-males     | Noun               | ଇର୍ଚୁର              |
|                       |                    | ଇର୍ଚିର୍‌            |
| typhoid               | Noun               | ଆଣ୍ଠୁ କୋରେ IE କ୍‌  |
|                       |                    | ଓାଦାନାଦ୍‌          |
| typhoon               | Noun               | ତୁପ୍‌ ପାମ୍‌ ଗାଲ୍‌ |
| unemployed            | Noun               | ପାଢ଼ିୟ୍‌            |
|                       |                    | ଇଲୁକଟେ ଓାଟିଦେ ମାନ୍ଦାନାଦ୍‌ |
| 1011680୦୦୮୦୦୯17/,8୦୦10୦1117/ | Adverb            | 6am MSS, ଆଶ୍‌ କେ ଆଶ୍‌ କେ |
| unfair                | Adjective          | ନେରାମ୍‌ ତେ         |
| unfamiliar            | Adjective          | YQ ଇଲ୍‌ ଓ ନାରୂର୍‌     |
| unfit                 | Adjective          | @QQ, AAI ମାନ୍ନୋ     |
| unfitting,un-joint    | Adjective          | 1 ଆଉଭା              |
|                       |                    | ଏରୀ ଆତା            |
| unformed              | Adjective          | ଇଦିଲ୍‌ ତା          |
| unfriendly            | Adverb             | ସାୟା ପୁନ୍ଦିଲ୍ଵାନ୍‌   |
| unfurl the flag       | Verb               | ଜେଣ୍ଡା ଲେତାନାଦ୍‌    |
| ungodly man           | Verb               | ଆମ୍ବତ୍‌             |
|                       |                    | ଟିକ୍‌ ରାମ୍‌ ତୁଙ୍ଗାନାଦ୍‌ |
