| Word                | Part of Speech  | Odiya Translation |
|---------------------|----------------|-----------------------|
| very small species of plantain tree | Noun | କାନ୍ଦି |
| very tasty | Adjective | ରୁଣ୍ାମ୍‌ |
| alg | N/A | N/A |
| vessel | Noun | ତେପ୍‌ MIF] |
| vessel with a narrow neck | Noun | କାଶ୍‌ ଲାଂବିନ୍ଦି |
| vessels blacken by burning | Verb | ତେପ୍‌ AIF ମାସ୍‌ ଆତ୍‌ |
| vice | Noun | ପାପ୍‌ ପାମ୍‌ |
| vice president of village | Noun | ଚିନ୍ନା ପେଦା |
| victory | Noun | ଜୀଡ଼ାନାଦ୍‌ |
| village | Noun | ନାଟେ,ନାର୍‌ |
| village meeting | Noun | AS |
| village street name | Noun | ଗୁଡ଼ିୟେମ୍‌ |
| village chief | Noun | ପେଦା |
| vine | Noun | ATR ଏଟ୍‌ |
| vine tree | Noun | UTA NG ଟୁ,ମାଡ଼ା |
| violence | Noun | କୋପାମ୍‌,କୂୱାମ୍‌ |
| violent | Adjective | OQ କାୱ୍‌ ,ଗାତାର୍‌ AA ତାନାଦ୍‌,ରାମ୍ପ୍‌ ଆଦାନାଦ୍‌ |
| wake, rise | Verb | ତେଦା |
| wake up (suddenly) | Verb | ଡିଗ୍‌ ଡାଗ୍‌ ତେଦାନାଦ୍‌ |
| walk | Verb | ନାଢୁମ୍‌, ଦାୟାନାଦ୍‌,ତାକା ନାଦ୍‌ |
| walk about | Verb | ଆଶ୍‌ ସାମେ,ଆପୁନାମେ ଇଗେ AGS CGR ତାନାଦ୍‌ |
