| Word in English | Part of Speech   | Odiya Translation |
|-----------------|-----------------|------------------|
| nail            | Noun.           | ସୀଲାମ୍ କୁଶ ଥାନ୍ଦ୍ |
| nail,latch      | Noun.           | ମଲେ |
| nail(of hand)   | Noun.           | ଗୋକ୍, ଗୋର୍, ଏନ୍ ଶ୍, କ୍, ଇଡ଼ଞ୍ଜ କ୍, କ୍ |
| nailed,pierced, hammer    | Adjective.           | କୂଟ କଟରୋର୍ |
| naked           | Adjective.      | ଦୁଙଗ୍ ଦୁଙ୍ଗା |
| name            | Noun.           | ପେଦେର୍ |
| naming ceremony | Noun.           | ପୂରୁକ୍ |
| nape            | Noun.           | ଚେମ୍ପାପିଟ୍ ଗୁଡ଼ମ୍ |
| narrow          | Adjective.      | ନା ସୁଡ଼ୁଲା ସାନ୍ନା ଯାନ୍ରାଙ୍ଗ |
| narrow place    | Noun.           | ସାରା |
| tree(houses)    | Noun.           | ପାଇନ୍ଦ୍ |
| narrowness winding lane,alley,nook                  | Noun.           | କେମ୍ବ୍ଲା |
| native spade    | Noun.           | କୋଦାଳ |
| natural         | Adjective.      | ସାରେ ରୋଜ୍ ଥାଦାନାଦ୍ ବେସ କେ ବାରେ MEGA |
| nature          | Noun.           | ମାବ୍ ନୁ ବୁମ୍ |
| nausea,retching | Noun.           | ତେମ୍ଲା ଓାଟାନାଦ୍ |
| navel           | Noun.           | ବହ୍ଛୁ |
| navy            | Noun.           | ଏର୍ବା ସ୍ୟ୍ ନୋର୍ କ୍ |
| naxals          | Noun.           | ନାଲୋର ଗୁପ୍ ପାଲୋର୍ ନାର୍କାଟ୍ଟୋର୍ |
| near            | Adposition.     | ଦେଗେର୍ ସୋପ୍ ପେ ¬ ରେ |
