| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| salty | Noun | ଲୁଣି ଉପ୍ ପା ପା |
| salute,worship | Verb | ଗାଇ |
| salvation | Noun | ଗେଲ୍ ସାନାଦ୍ |
| sambar deer | Noun | ମାରମ୍ରାମ୍ |
| sanctify | Noun | ପାପାମ୍ କୁଞ୍ଚି ଗେଲ୍ ପ୍, ପାୱିତ୍ରାମ୍, ଯୁ୍ଦ୍ରାଙ୍ଗ ଞେଡ଼ି ମାନ୍ଦାନାଦ୍ |
| sand | Noun | ଉସ୍ କା |
| ୦7] ୦୦୯ | Noun | ସିଲେ |
| ଘଥିଃ down | Verb | କୁଦି ମାରା |
| Satan,spirit | Noun | ଦେୟାମ୍, ବୂତାମ୍, ପାରାମେଶ୍ବାର୍ ପରେ ଓରୋଦାମ୍ ତୁଙ୍ଗାନୋଣ୍ଡ |
| satisfactorily | Adverb | ସାର୍ଦା ତେ, ଲଷ୍ଟାମ୍ ତେ |
| satisfied | Verb | ପାଞ୍ଜାନାଦ୍, ସ୍ମାର୍ଥାନାଦ୍ |
| Saturday | Noun | ସାନିୱରାମ୍ |
| Sauce pan | Noun | କୋଡ଼େଇ, କୋଡେୟ୍ |
| Save | Verb | ଗେଲ୍ ସ୍ ପା, ତାସାନାଦ୍ |
| saving | Noun | ଆସିରି ସିତାଶାନାଦ୍ |
| saviour | Noun | ପିସାନୋଶ୍ଟ, ଜୀ ପିସାନୋଣ୍ଟ, ଜୀଶୁ ଖ୍ରୀଷ୍ଟ ଭର୍ଥ୍ୟ/ |
| dust, husk | Noun | ରାମ୍ପାମ୍ ଭର୍ଥ୍ୟ/ ଚିତ୍ ତଡ଼୍ |
| Say | Verb | କେଲ୍ ଲା, ୱଞେୟ୍୍ |
| scabies Comes out | Verb | ଉୟ୍ ତେଡ଼୍ ତ୍, ପୁଟ୍ ରା ୭୦ଥ81)୨1୦5,590୦115 |
| scale | Noun | ପୁଣ୍ତୁ ଟଟେ |
| scale-pan | Noun | ତୁଞ୍ଚାନାଦ୍ କାଟା |
