| Word               | Part of Speech | Odia Translation |
|--------------------|----------------|------------------|
| See                | Verb           | ଉଡ଼ାନାଦ୍         |
| See after          | Verb           | କାପ୍ ଉଡ଼ାନାଦ୍     |
| See into           | Verb           | ମେକ୍ କାନାଦ୍        |
| Seed               | Noun           | ସାଗ              |
| ୭୦୯୦,5୮୦10୦,1111 | Noun           | ମୁଞ୍ଜାଟେକା         |
| ,ଗୀଞ୍ା             |                | ମୁଞ୍ଜାଟେକା         |
| Seedling           | Noun           | ମକ୍ କେ ଆଞ୍ଚିନ୍    |
| ନାରା              |                |                  |
| Seeing             | Verb           | ASGARD           |
| Seek               | Verb           | ମେକ୍ କାନାଦ୍        |
| Seen               | Verb           | ତୋନ୍ଦିତ୍, ତୋପମିନ୍ଦେ |
| Se1zZe             | Verb           | ପୟ୍୍ ତାନାଦ୍        |
| Seldom             | Adverb         | ବେଶ୍ ଳା ବେଶ୍ କୋ |
| Select             | Verb           | ଏନ୍ସାନାଦ୍        |
| Self control       | Verb           | ନିଜେ ନିଜ ଥାଲ୍ ପ୍ ତିନ୍ ପୟ୍୍ ତାନାଦ୍ |
| Self conceit       | Noun           | ନିଜ କୃର୍ଧ୍ବାମ୍      |
| Self respect       | Noun           | ନିଜ ମାରିୟାଦା( ମେଳ ତା) |
| Selfish            | Adjective      | ସନ୍ତାଙ୍ଗ ସନ୍ତାଙ୍ଗ୍ |
| ମାଟୁଗେ ଉଡ଼ାନାଦ୍         |                |                  |
| Selfishness        | Noun           | ନିଜେ ସେଙ୍ଗେ       |
| ମାତ୍ର ପାଡ଼ିୟ୍ ଦା ଉଡ଼ାନାଦ୍ |                |                  |
| Selflessness       | Noun           | ନିଜା ଜୀଞାମ୍       |
| ମାତ୍ର ଉଡ଼ୋର୍ ସାର୍ରାତୋର୍ କିଙ୍କ୍ ଥାଲ୍ ସାନାଦ୍ |                |
| Selling            | Verb           | ଓାମ୍ ମନାଦ୍, ଥଆମ୍ ମାନାଦ୍ |
| Selling goods      | Verb           | ସାମାନ ଥାମାନାଦ୍      |
| Send               | Adjective      | ଲୋହ୍ ଡା ମିନ୍ଦାନ୍,' ରାସି ମାନ୍ଦାନ୍ |
| Send for           | Verb           | ନାରୂର୍ ରୋସି କାଙ୍ଗାନାଦ୍ |
