| Word in English    | Part of Speech | Odiya Translation      |
|--------------------|----------------|------------------------|
| tie with rope      | Noun           | ତାଡ଼ୂମ୍ ତେ                |
| ତତାନାଦ୍             |                |                        |
| tiger              | Noun           | ଡ଼ୱଁ                    |
| Noun               |                | ୍ରେଙ୍ଗ ଓାଲାମ୍             |
| tight              | Adjective      | ଟେଙ୍ଗ ମିନ୍ଦେ             |
| tiles              | Noun           | ପେକ୍                    |
| tiles house        | Noun           | ଟାଲି ଲୋନ୍                |
| till               | Connective    | ବେଚ଼ଟ୍ ଦାକ୍              |
| tillage            | Noun           | ବୁମ୍ ଉଡ଼୍ ତାନାଦ୍         |
| tilt, slant        | Verb           | ଥଡ଼ସ୍ ଆସମିନ୍ଦାନ୍        |
| time and again     | Adjective      | ଏକ୍ ସୋୟ୍୍, ଏକ୍ କା         |
| time, season       | Transitive verb | କାଲାମ୍ ସାମାୟାମ୍         |
| timid              | Adjective      | କାର୍ ମଣ୍ଡ କଞ୍ଜାଲ୍।୍ତେର୍ଦାନୋଣ୍ଡ |
| tincture           | Noun           | ରାଲ୍ ତାସ୍କ୍ SHARE ପେତାନ୍ ଗାୟାମ୍ । ଓାଟାନ୍ ମାତ୍ |
| tiny parts         | Adjective      | ନୁନ୍ନାକ୍                  |
| tip                | Noun           | ଉଜେ                    |
| tip the tongue     | Noun           | କଣ୍ଡା ନାଲ୍ କ୍            |
| tired              | Adjective      | ଥ୍ୟ୍ ଆ alee               |
| tired saying       | Adverb         | କେସ୍ କେସ୍ ଓଡ଼ି, ଆୟ୍ ତ୍ତ ଥାନ୍ଦାନାଦ୍ |
| tissue             | Noun           | ମେନ୍ଦୁଲ୍ ଡା ତଲ୍ କା ଥାଡ଼୍ 6 ମାନ୍ଦାନାଦ୍ |
| to                 | Preposition    | କିଙ୍କ୍                  |
| to boil            | Transitive verb | ଏ୍ର୍ ଓାଚାନାଦ୍, ଏଚେର୍ |
| to cause to cry    | Transitive verb | କେୟ୍ ପଚାନାଦ୍              |
| to fall down senseless | Verb   | ସାମ୍ କ୍ କ ଥାସ୍ ରାଲାନାଦ୍ |
