| Word in English     | Part of Speech | Odiya Translation |
|---------------------|----------------|------------------|
| to be boiled        | Intransitive verb | ଗାଟି ଡେଡ଼ ଥାତା, ଞେରାନାଦ୍ |
| to be removed      | Intransitive verb | କୁସାମ୍, ଟେଣ୍ଡାନାଦ୍ କୁଶ୍ ପାନାଦ୍ |
| to be seen          | Intransitive verb | ତୋପାନାଦ୍ |
| to be shy              | Intransitive verb | ସିଗୁ ଥାଦାନାଦ୍ |
| to be sufficient      | Intransitive verb | ୬ ତା ସୁମାର୍ ଥାଦାନାଦ୍ |
| to be suitable         | Intransitive verb | କାଡ଼ କ୍ ଥାରା, ଣ୍ବାମାଙ୍ଗ୍ ଥାତ୍ |
| to be thirsty           | Intransitive verb | ଏଉଁଣ୍ଟ ଞେରା |
| to be torn             | Intransitive verb | ଇଙ୍ଗାନାଦ୍ |
| to be up-side down | Intransitive verb | କାପ୍ ମନ କ୍ ତାନାଦ୍ |
| to be, stay             | Intransitive verb | ମାନ୍ଦାନାଦ୍ |
| to bear load          | Transitive verb | କାନ୍ ଜାନାଦ୍ |
| to beat                  | Verb | GAGE ଓାଡ଼୍ ସାନାଦ୍ |
| to become            | Intransitive verb | ଥାଦାନାଦ୍ |
| to become cool     | Intransitive verb | କିର୍ଗିଂ ଥାନ୍ଦାନାଦ୍ |
| to become ୯୮୪   | Intransitive verb | GOALIE |
| to become mature | Intransitive verb | ମୁୟ୍ ସି ଥାନ୍ଦାନାଦ୍ |
| to become ready    | Intransitive verb | ତେୟାର୍ ଥାନ୍ଦାନାଦ୍ |
