| English Word | Part of Speech       | Odia Translation |
|--------------|----------------------|------------------|
| bundle of sticks, wood | Noun | ସର୍କିନ୍‌ ମୋପ୍‌ |
| bundle up 11 saree | Verb | ଉଭାନାଦ୍‌ |
| bungalow | Noun | ମେଡା ମେଡ଼ା ଲୋନ୍‌ |
| burned up | Verb | ଞେଭା ,ଞେମ୍‌ |
| burning | Verb   | Adel |
| burning coal | Noun | ତାଡ଼ମେ |
| burning(fire) | Adjective | ନିର୍ଷୋମିନ୍ଦେ(କିଶ୍‌), ମାଣ୍ଡମିନ୍ଦେ |
| burst | Verb | FSC ,ପୋକିତା |
| burst forth | Verb | AIG କେ ପେୟ୍‌ ସି ତୋପାନାଦ୍‌ |
| burst out | Verb | AIG କେ ରାମ ତୁଙ୍ଗାନାଦ୍‌, ଆଦାନାଦ୍‌, ପକ୍‌କାନାଦ୍‌ |
| burst upon | Verb | ସାଟ୍‌ କେ GI ସାନାଦ୍‌, ରେତାନାଦ୍‌ |
| bury | Noun | ମିଚ୍ଚାନାଦ୍‌ |
| bus | Noun | @Q |
| bush, shrub | Noun | 6AIGINI |
| business | Noun | ଏପାରାମ୍‌ |
| busy | Adjective | MAl ଗାପା, ଦାନ୍ଦା ag ସି |
| but | Coordinating connective | ମାତ୍ରାମ୍‌ |
| butcher | Noun | ଆଙ୍ଗ୍‌ କୟ୍‌ ସି ଆମ୍‌ ମାନୋଣ୍ଟ |
| butt | Noun | ମଗମିନ୍ଦେ ୮୮୪୮ |
| butter milk | Noun | ପାଲ୍‌ ଏର୍‌ AR |
| butterfly | Noun | ଗୁଗି |
| butting, charging | Verb | କଟାଭା |
| buttocks | Noun | ଗୁରାପେଣ୍ଡା |
