| English Word    | Part of Speech   | Odia Translation  |
| :------------- | :-------------  | :-------------   |
| by day train    | Preposition      | ପାୟାଲ୍‌          |
| by means of     | Preposition      | ସାଙ୍ଗେ           |
| by money       | Adverb           | ପାଇସାତେ         |
| camera men     | Noun             | ପୁଟୁଏଁ ଡିପାନଣ୍ଡ |
| can            | Verb             | ପାର୍ଚା          |
| can not spread hand | Verb        | କାୟ୍‌            |
| canal          | Noun             | କା               |
| cancel         | Verb             | ତେତାନାଦ୍‌        |
| cancer         | Noun             | କେନ୍‌ ସାର୍‌ ରୋଗାମ୍‌ |
| candle         | Noun             | ମୋବଭି            |
| cane stick     | Noun             | ପେଦାତୁଡ୍‌         |
| canine tooth   | Noun             | ବେରାଁ ପାଲ୍‌      |
| cap            | Noun             | ଟୋପ୍‌            |
| card game      | Noun             | ପେକ୍‌ କ ଆଟା      |
| careful        | Adjective        | ଚେତୁର୍‌ ଆଦାନାଦ୍‌  |
| carefully      | Adverb           | ଚେତୁର୍ତେ         |
| careless       | Adjective        | ଏକ୍‌ ମେରେ         |
| careless man   | Noun             | ପାର୍ବୋତୁଲ୍‌      |
| carious tooth  | Noun             | କୁଳୁତା ପାଲ୍‌   |
| carp           | Noun             | ପୋଟ୍‌ କୀକେ        |
| carpenter      | Noun             | ଓାଡ଼୍‌ ଲାଲ୍‌     |
| carpet         | Noun             | କାଲ୍‌ ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌ |
| carrot         | Noun             | ଏରାଁ ମାଟି         |
| carry away     | Verb             | ତୀସି 603         | 

Note: Odia script characters might not be visible properly on all devices.
