| English Word          | Part of Speech | Odia Translation |  
| ---------------------| --------------|---------------- |
| large intestine       | Noun          | ବାଡ଼ିୟା         |
|                      |               | ବଭା            |
| large size basket's which use for store the grains | Noun | ଗୁଲା |
|                      |               | ଗାମ୍ା          |
| large stone-rock      | Noun          | ବାଣ୍ଡିରାଯ୍‌    |
|                      |               | କ୍‌             |
| large wide mouthed vessel | Noun     | ସି            |
|                      |               | ଡେକ୍‌ ଲି       |
| last child            | Adjective    | ମାରେଙ୍ଗ୍‌       |
|                      |               | ପିଲ୍ଲା          |
| last day              | Noun         | ନିନ୍ନେଟ୍‌ ରୋଜ୍‌ |
| last month            | Noun         | ଆଭା ନେଲା      |
| last night            | Noun         | ନିନ୍ନେଟ୍‌ ନାର୍କା |
| last year             | Noun         | ନୀରି           |
| lasting               | Adjective    | ବେଶ୍‌ କେ ବାରେ   |
| lastly                | Adverb       | ମାରେଙ୍ଗ୍‌       |
| late                  | Adjective    | ଗାଟି ଜେଲ୍‌ ଆତା  |
|                      |               | ଆଲ୍‌ ସେମ୍‌       |
| late evening          | Noun         | ମୁଲପେ          |
|                      |               | ମୁଲ୍‌ ପୁଟ୍‌     |
| lately                | Adverb       | ଜେଲ୍‌ ତେ        |
|                      |               | ସେମ୍‌ ତେ        |
| latrine               | Noun         | ପେଲାନାଙ୍କ୍‌ ଗାଦ୍‌ |
| latticed window       | Noun         | ତୁର୍‌ ବସା      |
| laugh                 | Verb         | କାଉତାନାଦ୍‌     |
| laugh at              | Verb         | କାନାଦ୍‌         |
|                      |               | କାୱ୍‌ ତାନାଦ୍‌   |
| laugh away            | Verb         | କି ମାର୍ଗାନାଦ୍‌  |
| laughter              | Noun         | କାଓ୍‌ ସାନୋଣ୍ଡ    |
| law                   | Noun         | ନିୟାମ୍‌         |
|                      |               | APIA ତ୍‌ QR        |
| lawn grass            | Noun         | ଗାର୍‌ କି ଗାଟ୍‌  |
| lawyer                | Noun         | ଓାକିଲ୍‌         |
