| English Word       | Part of Speech   | Odiya Translation |
| :-----------------|:----------------| :----------------|
| luck              | Noun            | ଆଡୁଷ୍ଟାମ୍‌        |
| luffa acutangula  | Noun            | Sal କାୟା         |
| luggage           | Noun            | -                |
| lumbago           | Noun            | Ada ନପ୍‌         |
| lunar eclipse     | Noun            | -                |
| ଗାଣ୍ଡୁମ୍‌        | Noun            | Ag ଭା            |
| lunch             | Noun            | ପାୟାଲ୍‌ ଦୋଡ଼ା    |
| lungs             | Noun            | ନେଲା            |
| lust              | Noun            | ପୀନ୍ଦା ଇଷ୍ଟାମ୍‌ |
| lust, longing for eat | Noun        | ମିଙ୍ଗ୍‌         |
| ତା ମିଙ୍ଗ୍‌ ତା ତାଗଲ ମିନ୍ଦେ | Noun | -            |
| lustre            | Noun            | ଷେଶ୍‌ ,ଞେନ୍ତେଲ୍‌ |
| ତୋପାନାଦ୍‌        | Noun            | -                |
| make known well   | Verb            | ବୋଦିସାନାଦ୍‌,କାର୍‌ |
| make of           | Verb            | ପୁନ୍ଦାନାଦ୍‌    |
| make off          | Verb            | ଦାନ୍ଦା ପୟ୍‌ ସି ସିଟ୍‌ |
| ପାଟ୍‌ ଆନ୍ଦାନାଦ୍‌  | Verb            | -                |
| make open         | Verb            | ପାଙ୍କାନାଦ୍‌    |
| make over         | Verb            | ଅପ୍‌ ପିଦାନାଦ୍‌ |
| make stand        | Verb            | ନିଲ୍‌ ପିସାନାଦ୍‌ |
| make up           | Verb            | AR IE ଭଦାନାଦ୍‌, |
| making hair like hairdo | Noun      | ତାଲାତ୍‌ ଜାଡ଼ା IR |
| ଓାଟାନାଦ୍‌        | Noun            | -                |
| malaria           | Noun            | ମାଲେରିୟା ନୁଲ୍ଲେନ୍‌ |
| ଏଡ଼୍‌ କ୍‌        | Noun            | -                |
| male child        | Noun            | ସେଲୋଲ୍୍‌, ପିକି  |
| male of sheep     | Noun            | ପୋତ୍‌             |

Note that for some words such as "luggage", "lunar eclipse", "ତା ମିଙ୍ଗ୍‌ ତା ତାଗଲ ମିନ୍ଦେ", "ତୋପାନାଦ
