| English Word        | Part of Speech      | Odia Translation  |
|---------------------|----------------------|----------------------|
| meddler             | Noun                   | ଆଶ୍‌ ଶାମେ ଆଡ଼ାମ୍‌, ଓାଟାଣୋଣ୍ଡ                 |
| mediator            | Noun                   | ସାମାଦାନାମ୍‌, ତୁଙ୍ଗାନୋଣ୍ଟ, ବେରୁମାଲ୍‌             |
| medical store       | Noun                   | ମାତ୍‌ ଦୁକାନ୍‌                                          |
| medicine            | Noun                   | UG                   |
| medicine bottle     | Noun                   | ସିସା                                                        |
| meditate            | Verb                   | ଅଣ୍ଡୋୟ୍‌ ଆଲ୍‌ A ତେ, ମକାରିସିଂ, ମାନ୍ଦାନାଦ୍‌  |
| meditative          | Adjective              | AG ଆଲ୍‌, ପିନ୍‌ ଟଣ୍ଟେ ମାନ୍ଦାନାଦ୍‌                  |
| meek/meekness       | Adjective              | ମାଟା, ପ୍ରାକାରାମ୍‌ ନେମ୍‌ AI, ସାୟା ମାନ୍ଦାନାଦ୍‌ |
| meet                | Noun                   | କାଇଲି ତାନ୍‌, ୮୮/୮୬                                   |
| meeting             | Noun                   | ଗଟି ଗୂଡ଼ାନାଦ୍‌, ପାଞ୍ଚି, କୁପ୍‌ ପି, ପାନ୍ଦିର୍‌         |
| melodious           | Adjective              | ମେଲ୍‌ ତା ଲେଙ୍ଗ୍‌                                       |
| melt                | Verb                   | †×⁄. କାରୁଗଂତ୍‌                                           |
| member              | Noun                   | ମେମ୍ବାର୍‌                                                |
| memorize            | Verb                   | ଏଦ୍‌ ମାଡ଼ାନାଦ୍‌, ଗୁଣି ଦେ ତାସାନାଦ୍‌                 |
| memory              | Noun                   | //୧///. ଗୁର୍ତି, ଏର୍‌ କି, ଓାଦାଟାମିଲ୍‌ ଲେ               |
| menstrual pain      | Noun                   | ନାଟାନ୍‌ ଡକା, ea                                        |
| menstruation        | Noun                   | @I@ Gl Ge, ନେଲ୍ଲା, ଲେଞ୍ଜ୍‌ CMB CORA, ଆନ୍ଦାନାଦ୍‌ |
| mental disposition,mood |
