| Word in English        | Part of Speech  | Odiya Translation |
| :-------------: |:-------------:| :-----:|
| to be over boiled | Intransitive verb | ଗାଟି ଞଡେଡ଼ |
| to be removed      | Intransitive verb | କୁସାମ୍‌, କୁଶ୍‌ ପାନାଦ୍‌ |
| to be seen  | Intransitive verb  |  ତୋପାନାଦ୍‌ |
| to be shy | Intransitive verb | ଆଦାନାଦ୍‌ |
| to be stopped(rain)(fever) | Intransitive verb | ଏନା ଗାନାଦ୍‌, ଏଢୁକୁ ଞର୍ଗାନାଦ୍‌ |
| to be sufficient | Intransitive verb | ଆତା, ସୁମାର୍ ଆଦାନାଦ୍‌ |
| to be suitable proper | Intransitive verb | ଆତ୍ତା, ସାମାଙ୍ଗ ale |
| to be thirsty | Intransitive verb | 1AQ 6A |
| to be torn | Intransitive verb | ଭଙ୍ଗାନାଦ୍‌ |
| to be up-side down | Intransitive verb | କାପ୍ ମୁ କ୍ ତାନାଦ୍‌ |
| to be,stay | Intransitive verb | ମାନ୍ଦାନାଦ୍‌ |
| to bear load | Transitive verb | କାନ୍ ଜାନାଦ୍‌ |
| to beat | Verb | ସାନାଦ୍‌ |
| to become | Intransitive verb | ଆଦାନାଦ୍‌ |
| to become cool | Intransitive verb | ଆନ୍ଦାନାଦ୍‌ |
| to become dry | Intransitive verb | ଏାତିଆ ନ୍ଦାନାଦ୍‌ |
| to become mature | Intransitive verb | ମୁୟ୍ ସି ଆନ୍ଦାନାଦ୍‌ |
| to become ready | Intransitive verb | ତେୟାର୍ ଆନ୍ଦାନାଦ୍‌ |
