| **Word in English** | **Part of speech** | **Odiya Translation** |
| -------------------| ------------------ | ---------------------|
| to touch | Transitive verb | କେଟାନାଦ୍‌ |
| to transplant | Transitive verb | ଉର୍ସକାନାଦ୍‌, ଭର୍ସକାନାଦ୍‌ |
| to turn | Intransitive verb | ଉଡି ଭଡି, ଉଡି ଉଡି |
| to untie a bundle | Transitive verb | ଲେତାନାଦ୍‌ |
| to uproot a tree | Transitive verb | ମାରା କୂଡି |
| accordingly | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| to wake up | Intransitive verb | ତେଦା |
| to walk | Intransitive verb | ନାଡ୍‌ |
| to wander around | Roaming Verb | ଉଡାନାଦ୍‌ |
| to wash clothes | Transitive verb | ଭକାନାଦ୍‌, ଉକାନାଦ୍‌ |
| to wash face | Transitive verb | ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌, ଉନ୍‌ ଶ୍‌ ଭର୍‌ ମ୍‌, ଉନ୍‌ ଶ୍‌ ମକମ୍‌ |
| to washing vessels, clean | Transitive verb | ନଦାନାଦ୍‌ |
| to wear | Transitive verb | କେର୍ତାନାଦ୍‌, କେମ୍ମ୍‌, ଗୁଡ଼ା |
| to weave | Intransitive verb | ଆଲାନାଙ୍‌ |
| to wed | Noun | କାୟ୍‌ AAA କାଲ୍‌ ପାନାଦ୍‌ |
| to wet, make wet | Transitive verb | ନାନ୍ଦାନାଦ୍‌, ନାତାନାଦ୍‌ |
| to win | Transitive verb | ଗେଲ୍‌ ସାନାଦ୍‌, ଜୀଡ଼ାନାଦ୍‌ |
| to winnow | Transitive verb | ଏସାନାଦ୍‌ |
| to wipe | Transitive verb | ଉନ୍‌ ଶ୍‌ ପିତ୍ତାନ୍‌, ଉନ୍‌ ଶ୍‌ ଭମାନାଦ୍‌ |
| to write | Transitive verb | ରାସାନାଦ୍‌ |
