,Question,,,,Response,
#,Odia,English,Tag1,Tag2,Odia,English
1,ମୁଁ ଜାଣିବାକୁ ଚାହୁଁଛି ଯେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁ ଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ।,I want to know which of white rice seeds and red rice seeds will give better yield.,Seeds and Sowing,,ଆପଣ ପଚାରି ଥିଲେ ଧଳା ଧାନ ବିହନ ଏବଂ ନାଲି ଧାନ ବିହନ ମଧ୍ୟରୁ କେଉଁଟା ଚାଷ କଲେ ଭଲ ଅମଳ ହେବ। ଧାନ ବିହନ ର ରଙ୍ଗ ଉପରେ ଅମଳ ନିର୍ଭର କରି ନ ଥାଏ। ଉନ୍ନତ କିସମ ର ଧାନ ବିହନ ଚାଷ କଲେ ନିଶ୍ଚିତ ରୂପ ରେ ଅଧିକ ଅମଳ ହୋଇ ଥାଏ। ଆପଣ ଉଚ୍ଛ ଜମି ରେ ସହଳ କିସମ ଯେଉଁ ଟା କି 100-110 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ଚାଷ କଲେ ଭଲ ଅମଳ ପାଇବେ। ମଧ୍ୟମ ଜମି ପାଇଁ କିସମ ଯେଉଁଟା କି 120-135 ଦିନ ଭିତରେ ହୋଇ ଥାଏ ବ୍ୟବହାର କରିବା ଉଚିତ। ଖାଲ ଜମି ପାଇଁ 135 ରୁ ଉର୍ଦ୍ଧ ଦିନ ଭିତରେ ଅମଳ ହେଉଥିବା ବିହନ ଗୁଡିକୁ ବ୍ୟବହାର କରି ପାରିବେ. ସଠିକ ସମୟ ରେ ରୋଗ ପୋକ ପରିଚାଳନା ଏବଂ ସୁଷମ ସାର ପ୍ରୟୋଗ କଲେ ନିଶ୍ଚିତ ଭାବେ ଭଲ ଅମଳ ହେବ। ,"If you are asking which one of white rice seeds and red rice seeds will produce better yield. The yield does not depend on the color of the rice seed. Cultivation of better varieties of paddy seeds will definitely yield more. You will get good yield if you grow rice varieties in high land which ripen in 100-110 days. For medium land, varieties which mature within 120-135 days should be used. For dry land, the seeds harvested in more than 135 days can be used. Proper pest management and application of proper fertilizers will ensure good yield."
2,କେନ ହାଇବ୍ରିଡ ସ୍ଵର୍ଣ ଧାନ ସାଙ୍ଗେ କିମ୍ବା ଆଠ ଦିନ ପୂର୍ବରୁ ଅମଳ ହେଇ ପାରବା? ,Can hybrid golden rice be harvested early or eight days earlier?,Seeds and Sowing,Varietal Selection,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ସ୍ଵର୍ଣ ଧାନ ସହ କିମ୍ବା ସ୍ଵର୍ଣ ଆଗରୁ କେଉଁ ଶଙ୍କର ଧାନ ଅଦାୟ ହୋଇ ଥାଏ। ସ୍ଵର୍ଣ ଧାନ ସାଧାରଣତଃ 140 ରୁ 145 ଦିନ ଭିତରେ ହୋଇଥାଏ। ଶଙ୍କର ଧାନ ଗୁଡିକ ସାଧାରଣତଃ 125-135 ଦିନ ଭିତରେ ଅମଳ ହୋଇଥାଏ। ଅଜୟ, ରାଜଲକ୍ଷ୍ମୀ ଏବଂ ସାହାଦ୍ରି ହାଇବ୍ରିଡ ଗୁଡିକ 135 ଦିନ ରେ ଅମଳ ହୋଇ ଥାଏ। ଆମ ଓଡିଶା ପାଇଁ ଉପଯୁକ୍ତ ପ୍ରାଇଭେଟ କମ୍ପାନି ର ଶଙ୍କର ଜାତୀୟ କିସମ ଯେମିତି କି ଆରାଇଜ ଧାନି (Arise Dhani) ଏବଂ ଆରାଇଜ (Arise)- 6444 ଧାନ 140 ରୁ 145 ଦିନ ମଧ୍ୟରେ ଅମଳ ହୋଇ ଥାଏ।","You asked which brand of grain is free with or before gold. Golden grain usually occurs in 140 to 145 days. Sugarcane crops are usually harvested in 125-135 days. Ajay, Rajalakshmi and Sahadri hybrids are harvested in 135 days. The national varieties of rice of the private company suitable for our Odisha like Arise Dhani and Arise-6444 are harvested within 140 to 145 days."
3,ବିହନ ବିଶୋଧନ କେମିତି କରିବି ଏବଂ ତଳି କେତେ ଦିନ ହୋଇଗଲେ ରୋଇ ପାରିବି?,How to treat the seeds and how long can the seedlings be sown?,Seeds and Sowing,Seed Treatment,ଆପଣ ପଚାରି ଥିଲେ ଯେ ବିହନ କେମିତି ବିଶୋଧନ କରିବି ଏବଂ ତଳି କେତେ ଦିନ ହୋଇଗଲେ ରୋଇ ପାରିବେ। ଧାନ ବୁଣିବା କିମ୍ବା ତଳି ପକେଇବା ଆଗରୁ ବିହନ ବିଶୋଧନ କରିବା ଟା ନିହାତି ଜରୁରୀ। ବିହନ ବିଶୋଧନ କରିବା ପୂର୍ବରୁ 10 ଲିଟର ପାଣି ରେ 1 କେଜି 650 ଗ୍ରାମ ଲୁଣ ମିଶାଈ ଦ୍ରବଣ ତିଆରି କରନ୍ତୁ  ଏବଂ ବିହନ କୁ ଏଥିରେ ପକାନ୍ତୁ। ପାଣି ରେ ଭାସୁ ଥିବା ମଞ୍ଜି ଗୁଡିକୁ ବାହାର କରି ଦିଅନ୍ତୁ। ତଳେ ବୁଡି ରହି ଥିବା ମଞ୍ଜି ଗୁଡିକୁ ବାହାର କରି 2 ରୁ 3 ଥର  ପାଣି ରେ ଧୋଇ ଦିଅନ୍ତୁ ଏବଂ ଟାଣ ଖରା ରେ ଶୁଖେଇ ଦିଅନ୍ତୁ। ଶୁଖିଲା ମଞ୍ଜି ଗୁଡିକୁ ଏକ ଡ୍ରମ ରେ କିମ୍ବା ମାଟି ହାଣ୍ଡି ରେ ଭର୍ତି କରି Carbendazim କିମ୍ବା vitavax ଔଷଧ କୁ 2 ଗ୍ରାମ କିମ୍ବା captan ଔଷଧ କୁ 3 ଗ୍ରାମ ପ୍ରତି 1 କିଲୋଗ୍ରାମ ବିହନ ରେ ଗୋଳାଇ ଭଲ ଭାବ ରେ ମିଶାଇ ଦିଅନ୍ତୁ। ବିଶୋଧିତ ବିହନ କୁ ଛାଇ ରେ ରଖନ୍ତୁ ଏବଂ 10 ଦିନ ଭିତରେ ବୁଣିବା କିମ୍ବା ତଳି ପକେଇବା ପାଇଁ ବ୍ୟବହାର କରନ୍ତୁ। ତଳି ସାଧାରଣତଃ  4-5 ପତ୍ର ହୋଇଗଲେ କିମ୍ବା 21-25 ଦିନ ପାଖା ପାଖି ହେଇ ଗଲେ ଆପଣ ରୋଇ ପାରିବେ। ,"You asked how to treat the seeds and how long it takes to sow the seedlings. It is absolutely necessary to treat the seeds before sowing or threshing. Before treating the seeds, make a solution of 1 kg 650 g salt in 10 liters of water and soak the seeds in it. Remove the seeds that float in the water. Remove the submerged seeds, wash them 2 to 3 times in water and dry them in a colander. Fill dry seeds in a drum or earthen pot and mix Carbendazim or vitavax 2 grams or captan 3 grams per 1 kg seeds thoroughly. Keep the treated seeds in shade and use for sowing or transplanting within 10 days. You can sow when the plant normally has 4-5 leaves or around 21-25 days."
4,ଗଲା ବର୍ଷ ସ୍ଵର୍ଣ ଧାନ କରି ଥିଲି ଭଲ ହେଇ ଥିଲା। ଏ ବର୍ଷ କେଉଁ ଧାନ କରିଲେ ଭଲ ହେବ ଏବଂ କେଉଁଠୁ କିଣିବି?,Last year I made golden rice and it was good. Which rice will be good to grow this year and where to buy it?,Seeds and Sowing,Variety and Seed Procurement,"ଆପଣ ଗତ ବର୍ଷ ସ୍ଵର୍ଣ ଧାନ କରି ଥିଲେ ଏବଂ ଭଲ ଅମଳ ମଧ୍ୟ ପାଇ ଥିଲେ ଏ ବର୍ଷ ଅଲଗା କିସମ କରିବାକୁ ଚାହୁଁଛନ୍ତି । ଆପଣ ପ୍ରତୀକ୍ଷା, ରାଣୀ ସ୍ଵର୍ଣ-ସବ 1 କିସମ ଚାଷ କରି ପାରିବେ। ଏ କିସମ ଗୁଡିକ ର ପ୍ରମାଣିତ ବିହନ ଆପଣ ନିକଟସ୍ଥ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି ବା PACS ରେ ରିହାତି ମୂଲ୍ୟ ରେ କିଣି ପାରିବେ। ","If you planted golden rice last year and got good yield, you want to grow different varieties this year. You can cultivate Pratiksha, Queen Gold-All 1 variety. You can buy certified seeds of these varieties at discounted prices from your nearest Primary Agriculture Cooperative or PACS."
5,ଧାନ ବିହନ କେଉଁଠୁ କିଣିବି?,Where to buy rice seeds?,Seeds and Sowing,Seed procurement,ଆପଣ ପଚାରି ଥିଲେ ଧାନ ବିହନ କେଉଁଠୁ କିଣିବେ? ଏହି ଖରିଫ ଋତୁ ରେ ଆପଣ ଆପଣଙ୍କ ପଞ୍ଚାୟତ ସ୍ତରୀୟ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି କିମ୍ବା ସରକାର ଙ୍କ ଦ୍ଵାରା ସ୍ୱୀକୃତି ପ୍ରାପ୍ତ ପ୍ରାଇଭେଟ ସଂସ୍ଥା ଗୁଡିକ ରୁ ଅନୁମୋଦିତ ମୂଲ୍ୟ ରେ ଧାନ ବିହନ କିଣି ପାରିବେ। ଆଗରୁ ଆପଣ ଙ୍କୁ ପୁରା ପଇସା ଦେବା କୁ ପଡୁ ଥିଲା ଏବଂ ପରେ ରିହାତି ଟଙ୍କା ଆପଣଙ୍କ ଆକାଉନ୍ଟ କୁ ଆସୁଥିଲା ଏବେ କିନ୍ତୁ ଆପଣ ସିଧା ସଳଖ ରିହାତି ମୂଲ୍ୟ ରେ କିଣି ପାରିବେ। ,"You asked where to buy rice seeds? During this kharif season you can buy paddy seeds at approved prices from your panchayat level primary agriculture cooperatives or private organizations recognized by the government. Earlier you had to pay the full amount and then the discount was credited to your account, but now you can buy directly at discounted prices."
6,"ମୁଁ ସ୍ଵର୍ଣ ସବ-1 ବିହନ ବିଶୋଧନ କେମିତି କରିବି, ତଳି କେମିତି ପକେଇବି। ତଳି କେତେ ଦିନର ହୋଇଗଲେ ରୋଇ ପାରିବି?","How do I treat golden sub-1 seeds, how to ripen them. How old can I cry?",Seed Treatment,Nursery Preparation and Transplanting,"ଆପଣ ତଳି କେମିତି ପକେଇବେ ବୋଲି ପ୍ରଶ୍ନ କରି ଥିଲେ ।  ତଳି ପକେଇବା ଆଗରୁ ବିହନ କୁ Carbendazim କିମ୍ବା vitavax ଔଷଧ 2 ଗ୍ରାମ ପ୍ରତି କିଲୋଗ୍ରାମ ବିହନ ରେ କିମ୍ବା captan କିମ୍ବା thiram ଔଷଧ କୁ 3 ଗ୍ରାମ ପ୍ରତି କେଜି ବିହନ ରେ  ମିଶାଇ ବିଶୋଧନ କରନ୍ତୁ। ଏକ ଏକର ପାଇଁ ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗା ତଳି ଦରକାର ପଡି ଥାଏ। 200 କେଜି କୋମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି DAP, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ଅଣୁସାର ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ ପ୍ରୟୋଗ କରନ୍ତୁ। ସ୍ଵର୍ଣସବ-1 ବିଶୋଧିତ ଧାନ ବିହନ ଏକର ଜମିରେ 20 କେଜି  ତଳି  ପକେଇବା ପାଇଁ ବ୍ୟବହାର କରନ୍ତୁ।ବିଶୋଧିତ ଧାନ ବିହନ କୁ 24 ଘଣ୍ଟା ପାଣି ରେ ଭିଜାଇବା ପରେ ଗୋଟିଏ ଛାଇ ଜାଗାରେ ପାଲ ଉପରେ ଗଡାଇ ଓଦା ବସ୍ତା କିମ୍ବା ପାଳ ଘୋଡାଇ ରଖନ୍ତୁ। ଧାନ ଗଜା ହେଲା ପରେ ଗଜା ଧାନ କୁ ତଳି ଘେରା ରେ ସିଧା ବୁଣନ୍ତୁ କିମ୍ବା ଧାଡି ରେ ବୁଣନ୍ତୁ। ତଳି 20-25 ଦିନ ର ହୋଇଗଲେ ମୁଖ୍ୟ ଜମି ରେ ରୋଇ ପାରିବେ। ","You were wondering how to cook the rice. Before sowing, treat the seeds with Carbendazim or Vitavax at 2 grams per kg of seeds or captan or thiram at 3 grams per kg of seeds. An acre of paddy requires 10 decimils of land. Apply 200 kg of compost or cow dung, 4 kg of DAP, 2.5 kg of potash and 1 kg of zinc sulphate particles at the time of final dredging. Use 20 kg of treated paddy seeds per acre for sowing. After soaking the treated paddy seeds in water for 24 hours, spread them on straw in a shady place and cover them with wet bags or straws. After the paddy has germinated, sow the paddy in straight lines or in rows. After 20-25 days the seedlings can be planted on the main land."
7,ଧାନ ତଳି କେମିତି ରୋଇବୁ ଏବଂ ବୁଣା ଧାନ ରେ ବେଉଷଣ ବିଷୟ ରେ ଟିକେ କୁହନ୍ତୁ? ,Tell us a little bit about how to sow and weed rice.,Transplanting,Beushening,ଆପଣ ଯଦି ତଳି ପକେଇବାକୁ ଯାଉଛନ୍ତି। ତଳି ସାଧାରଣତଃ 20-25 ଦିନ ହୋଇଗଲେ ଆପଣ ରୋଇ ପାରିବେ। ବିଳମ୍ବ କିସମ ଧାନ ପାଇଁ ଗଛ କୁ ଗଛ 15ସେମି ଏବଂ ଧାଡି କୁ ଧାଡି 20 ସେମି ବ୍ୟବଧାନ ରେ ରୋଇ ପାରିବେ। ଧାଡି ରେ ରୋଇବା ଦ୍ଵାରା ଗଛ ସଂଖ୍ୟା ଠିକ ରହେ ଏବଂ ଘାସ ର ନିୟନ୍ତ୍ରଣ କରିବା ପାଇଁ ସୁବିଧା ହୋଇଥାଏ। ଏହାଛଡା ଅମଳ ମଧ୍ୟ ଅଧିକ ହୋଇ ଥାଏ। ଯଦି ଖାଲୁଆ ଧାନ ଜମି ରେ ଧାନ ବୁଣୁଛନ୍ତି ତେବେ 25-35 ଦିନ ମଧ୍ୟରେ ବେଉଷଣ କରି ପାରିବେ। ଅଳ୍ପ ଉଚ୍ଛତା ଏବଂ ସ୍ୱଳ୍ପ ଅବଧି କିସମ ଗୁଡିକ ବେଉଷଣ ପାଇଁ ଠିକ ହୋଇ ନ ଥାଏ। ଖାଲୁଆ ଜମି ରେ ବିଳମ୍ବ କିସମ  ଧାନ ଯଦି ବୁଣୁ ଥିବେ ତେବେ ବେଉଷଣ କରି ପାରିବେ। ବେଉଷଣ କରିବା ଦ୍ଵାରା କିଛି ମାତ୍ରା ରେ ଘାସ ନିୟନ୍ତ୍ରଣ ହୋଇ ଥାଏ।ବେଉଷଣ କରିବା ଦ୍ଵାରା ବହଳ ହୋଇ ଥିବା ଜାଗା ରୁ ତଳି ଓପାଡି  ଖାଲି ଥିବା ସ୍ଥାନ ଗୁଡିକ ରେ ମନ୍ଦା  ଲଗେଇ ହୁଏ। ,"If you are going to fall. You can sow when the plant is usually 20-25 days old. For late varieties of paddy, plant to plant spacing of 15 cm and row to row spacing of 20 cm. Row planting maintains tree numbers and facilitates weed control. Besides, the yield is also high. If paddy is sown in open paddy land then it can be tilled in 25-35 days. Low height and short duration varieties are not suitable for cultivation. If late varieties of paddy are sown in fallow land, they can be weeded. Weed control is done to some extent by tillage."
8,ତଳି ପକେଇବା 8 ଦିନ ହେଲାଣି। ପ୍ରବଳ ବର୍ଷା ରେ କିଛି ପରିମାଣ ରେ ଧାନ ତଳି ନଷ୍ଟ ହୋଇ ଯାଇଛି। କ’ଣ କଲେ ତଳି ହୃଷ୍ଟ ପୃଷ୍ଟ ହେବ?,It's been 8 days since the fall. The paddy field has been damaged to some extent due to heavy rains. What to do to make the floor beautiful?,Cultivation Practices,Crop growth Management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ବୁଡି କି ଖରାପ ହୋଇଛି। କିପରି ଭାବରେ ଏହା କୁ ହୃଷ୍ଟ ପୃଷ୍ଟ କରି ହେବ। ତଳି 10 -12 ଦିନ ର ହୋଇ ଗଲେ 10 ଡେସିମିଲ ତଳି ଘେରା ପାଇଁ 4 କେଜି ୟୁରିୟା ପ୍ରୟୋଗ କରନ୍ତୁ। ତଳି 20-25 ଦିନ ର ହୋଇ ଗଲେ ରୋଇ ପାରିବେ।,"Your question was whether the floor was damaged by the heavy rain. How to make it beautiful. Apply 4 kg of urea for 10 decims of plant girth when the plant is 10-12 days old. After 20-25 days, the plant can be harvested."
9,"ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ସବୁ ନଷ୍ଟ ହୋଇ ଗଲାଣି, କିଛି ଉପଚାର କୁହନ୍ତୁ?","Floors are damaged due to heavy rain, suggest some remedy?",Cultivation Practices,Crop growth Management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପ୍ରବଳ ବର୍ଷା ରେ ତଳି ବୁଡି କି ଖରାପ ହୋଇଯାଇଛି। ତଳି ଯଦି ଖରାପ ହୋଇ ଗଲାଣି ଆପଣଙ୍କୁ ଆଉ ଥରେ ତଳି ପକେଇବା କୁ ପଡିବ। ଆପଣ ମଧ୍ୟମ ଏବଂ ଖାଲୁଆ ଜମି ପାଇଁ ଅପେକ୍ଷାକୃତ 15-20 ଦିନ କମ ଅବଧି କିସମ ଚୟନ କରନ୍ତୁ। ଆପଣ ବିହନ ପାଇଁ ପ୍ରାଥମିକ କୃଷି ସମବାୟ ସମିତି କିମ୍ବା ସହକାରୀ କୃଷି ଅଧିକାରୀ ଙ୍କୁ ଯୋଗ ଯୋଗ କରନ୍ତୁ।,"Your question was whether the floor has been damaged by the heavy rain. If the floor has deteriorated, you will need to re-floor it. Choose relatively short duration varieties of 15-20 days for your medium and dry land. Contact the Primary Agriculture Cooperative or Assistant Agriculture Officer for your seeds."
