English Word,Part of Speech,Odia Translation
 basket , Noun , କୁଲ୍‌ ଲା 
 basket made with bark , Noun , ସୋମ 
 basket small size , Noun , ଟାଟ୍‌ 
 basket used for storing cow dung , Noun , ପେଣ୍ଢା ଟାଟ୍‌ 
 bat bird , Noun , ଗାବିଲି ପିଟେ 
 bathroom , Noun , ଏର୍‌ ପୁନ୍ଦାଙ୍କ୍‌ ଗାତ୍‌ 
 bay weaver bird , Noun , ଜାକ୍‌ କା ଗଲ 
 beak , Noun , ମୁସ୍‌ କିଡ଼୍‌ 
 beans , Noun , ଅଗେ କାୟା 
 bear , Noun , ଏଡ଼୍‌ ନିଗ ଜ୍‌ 
 bear back , Noun , ପେର୍କେ ଜାର୍ଗାନାଙ୍କ୍‌ ଇଦାନାଦ୍‌ 
 beard , Noun , ଗାଡମ୍‌ 
 bearded man , Noun , ଗାଡମ୍ପାନ୍ଦାନୋଣ୍ଡ 
 beast , Noun , ଗାଗା ଜୀଞା ଜନ୍ତୁ 
 become flat , Noun , ଲୋଟ୍‌ ଆଲେ 
 bed , Noun , ପୋଲଙ୍କ୍‌ କାଟୁଲ୍‌ 
 bed sheet , Noun , ଦୁପୋଡ଼୍‌ 
 bed stead , Noun , ବାଲାନ୍‌ ବେଢ଼ିୟା କାଟୁଲ୍‌ 
 bedding , Noun , ପାଡ଼୍‌ କା ସାମା 
 bedroom , Noun , ପାଟ୍ଟାନାଙ୍କ୍‌ ଗାତ୍‌ 
 beds ina garden , Noun , ପେଟୁମ୍‌ 
 bee , Noun , ପେରେଞ୍ଜିସି 
 beef , Noun , ଗଡାଙ୍ଗ 
 beggar , Noun , ତାଲ୍‌ ପି ତିନ୍ଦାନୋଣ୍ଡ 
 beggars , Noun , ଡ଼ମାରୀର୍‌ 
 begot , Noun , ପୁଟ୍‌ କିଶ୍‌ ତୋନ୍‌ 
 behaviour , Noun , ଆଚରଣ 
 belching , Noun , ଡାକୁଆ 
 bell , Noun , ଘଣ୍ଟି 
 bell tree , Noun , ମାଡ଼ ମାରା 
 bellows , Noun , ବାଯିଶେ ଗିର୍କା 
 belly , Noun , ପେଟ 
 belt on for head , Noun , ଟିକିଡ ପାଟା 
 bench , Noun , ବାଁଚ 
 benefit , Noun , ସାୟାମ୍‌ 
 benevolence , Noun , କିଙ୍କ୍‌ ସାୟାମ୍‌ ମାଡ଼ାନାଦ୍‌ 
 berry , Noun , ଆଲୁବ 
 betel leaf , Noun , ପାନ୍‌ ଆକ୍‌ କି 
 bid in a chit or a lottery , Noun , କାଲିୟି ଜେତିବା 
 bier , Noun , ଗର୍ବଦାନା 
 big drops , Noun , ବାର୍ରା ବଢ଼ା 
 big rope , Noun , ଜୋରା 
 bigotry , Noun , ଦାର୍ମାମ୍‌ ତ୍‌ ପ୍ରତିଷ୍ଠା 
" bill hook, chopper ", Noun , କାଛାଚେର୍‌ ବାଣ୍ା 
 billhook , Noun , କାର୍‌ 
 bird         , Noun           , ପକ୍ଷୀ         
 birth        , Noun           , ଜନ୍ମ            
 birth control, Noun           , ଜନ୍ମ ନିଯୋଜନ    
 height       , Noun           , ଉଚ୍ଚତା         
 birthday     , Noun           , ଜନ୍ମ ଦିନ        
 ceremony     , Noun           , ଉତ୍ସବ          
 bishop       , Noun           , ବିଶୋପ          
 mandate      , Noun           , ହୁକମ            
 officer      , Noun           , ଅଧିକାରୀ         
 bison        , Noun           , ବିସୋନ୍‌        
 bird         , Noun           , ପକ୍ଷୀ         
 gourd        , Noun           , ଲାଉ             
 cumin        , Noun           , ଜିରା            
 monkey       , Noun           , ବାନର୍ଜି        
 goose        , Noun           , ହଂସ             
 gram         , Noun           , ଚଣା            
 myrobalam    , Noun           , ହରିତକୀଟି       
 black pepper      , Noun                , କମାଟ୍‌ ଗିଞ୍ଜା          
 black soil        , Noun                , କାରି ମାଣୁଲ୍‌             
 blacksmith        , Noun                , କାମ୍ମାର୍‌                
 blanket           , Noun                , ଦୁପ୍‌ ଡି କମ୍ବଲ             
" blot,spot        ", Noun                , ପାଲ୍‌ ଜୂର୍ଭା                
 blouse           , Noun                , ରେୟ୍‌ କ୍‌ କେ                
 blood            , Noun                ," ନେତୂର୍‌, ନେଉୁର୍‌           "
 blood pressure   , Noun                ," ଜୀୱା ତାଗେ ଆଦ୍‌ ମାନାଦ୍‌, ନାର୍କେ କାମ୍‌ ଆଦାନ୍‌ ରୋଗାମ୍‌ "
 blister          , Noun                , ଗାଡା ପେୟ୍‌ ତ୍‌             
 blind-man        , Noun                , ଗୁଡ଼ି ଏଣ୍ଡ                   
 blowpipe , Noun , ଗୋଣ୍ଡାମ୍‌ ଗୋଣ୍ଡଟାମ୍‌ 
 boar , Noun , ଆଡ଼୍‌ ଓ୍‌ ତ୍‌ ପାଦ୍‌ ରୋଲୁ 
 board , Noun , ରୁଟି ରାକାନ୍‌ ବାଲା ବୋର୍ଡ 
 boat , Noun , ନାଉ 
 body , Noun , ଦେହ 
 boldness , Noun , ଦୁରୁଶ୍‌ ମାନ୍ଦାନାଦ୍‌ 
 bolster , Noun , ପୋଡ଼୍‌ ଗ୍‌ ତାଲ୍‌ ପ୍‌ ଗାଡ଼୍‌ 
 bolt , Noun , ମେର୍ସାନାଦ୍‌ 
 bomb , Noun , ବାମ୍‌ 
 bone , Noun , ହାଡ଼ 
 booby , Noun , ବାୟାଲ୍‌ 
 book , Noun , ପୁସ୍ତକ 
 born blind , Noun , କାନାଲୋର୍‌ 
" boss,master ", Noun , ମାଲିକ୍‌ 
 bottle , Noun , ଏର୍‌ ତାସାନ୍‌ ଡାବା 
 bottle gourd , Noun , ବୁର୍କ୍‌ କାୟା 
 bouquet of flowers , Noun , ପୁଙ୍ଗାର୍‌ 
 bow , Noun , ଞ୍ଲ୍‌-ଞିଲ୍‌ କୁ 
 bowl , Noun , ଗିନି 
 bowstring , Noun , ନାରେମ୍‌ 
 box , Noun , ପେଟି 
 boy , Noun , ପେକାଲ୍‌ 
 boyhood , Noun , ପିଲାନ୍‌ 
 braiding hair , Noun , ଜାଡ଼ା ଓାଟାନାଦ୍‌ 
 brain , Noun , ମେଦର୍‌ 
 branch of a tree , Noun , ଗାଲାନ୍‌ 
 branch out , Noun , କମ୍‌ ମା ଆଦାନାଦ୍‌ 
 brass , Noun , ଭତେଲ୍‌ 
