English Word,Part of Speech,Odia Translation
 basket , Noun , କୁଲ୍‌ ଲା 
 basket made with bark , Noun , ସୋମ 
 basket small size , Noun , ଟାଟ୍‌ 
 basket used for storing cow dung , Noun , ପେଣ୍ଢା ଟାଟ୍‌ 
 bat bird , Noun , ଗାବିଲି ପିଟେ 
 bathroom , Noun , ଏର୍‌ ପୁନ୍ଦାଙ୍କ୍‌ ଗାତ୍‌ 
 bathe , Verb , WQ Qal 
 bay weaver bird , Noun , ଜାକ୍‌ କା ଗଲ 
 be , Verb ," ଆଦାନାଦ୍‌, ମାନ୍‌ "
 be angry , Verb , କୋପାମ୍‌ 
 be careful , Adverb , ଚେତୁର୍‌ ମାନ୍‌ 
 be cleaved (split) , Verb , ତାଲା AI ତାନାଦ୍‌ 
 be cooled , Adjective , GR ତା 
 be employed , Adjective , AIGA ମାଡ଼ାନାଦ୍‌ 
 be extinct , Verb , ପିଭାନାଦ୍‌ 
 be struck , Verb ," କୋୟେ ଇର୍କିଭା, ଗିଭା "
 be there , Verb , ମାନ୍ଦାନାଦ୍‌ 
 be times , Adverb , ଟୀକ୍‌ ସାମାୟାମ୍‌ ତେ 
 beak , Noun , ମୁସ୍‌ କିଡ଼୍‌ 
 beans , Noun , ଅଗେ କାୟା 
 bear , Noun , ଏଡ଼୍‌ ନିଗ ଜ୍‌ 
 bear back , Noun , ପେର୍କେ ଜାର୍ଗାନାଙ୍କ୍‌ ଇଦାନାଦ୍‌ 
 bear down , Verb , ଅଡ଼ି ଆନ୍ଦାନାଦ୍‌ 
 bear on , Verb , ସାମ୍ାନ୍ଦାମ୍‌ ତାସାନାଦ୍‌ 
 bear through , Verb , ତାର୍ରି ଆନ୍ଦାନାଦ୍‌ 
 bear up , Verb , ମେଦୁଲ୍‌ କଟେ ମାନ୍ଦାନାଦ୍‌ 
 bear/sustain , Transitive , ଧରିବା 
 beard , Noun , ଗାଡମ୍‌ 
 bearded man , Noun , ଗାଡମ୍ପାନ୍ଦାନୋଣ୍ଡ 
 beast , Noun , ଗାଗା ଜୀଞା ଜନ୍ତୁ 
 beat the drum , Verb , ଡଲା ଏନ୍ଦାଟ୍‌ 
 beauty mark , Noun , N/A 
 became tired , Adjective , ଆୟ୍‌ ଗେଲ 
 because , Connective , ବାତ୍‌ କେ 
 because of , Subordinating Connective , ଆଦିଙ୍କ ମାଇଦିଂ 
 become , Verb , ଆସ ମିନ୍ଦେ 
 become contracted , Adjective , କାମ୍‌ ମୁର୍‌ ତୁଙ୍ଗାନାଦ୍‌ 
 become flat , Noun , ଲୋଟ୍‌ ଆଲେ 
 become weak , Adjective , ତଣ୍ଡ ଆନ୍ଦାନାଦ୍‌ 
 become wormy , Verb , ପାଣିକୁଲି ଆତ୍‌ 
 becoming fat , Adjective , ବାଲସ୍‌ ତଣ୍ଡ 
 bed , Noun , ପୋଲଙ୍କ୍‌ କାଟୁଲ୍‌ 
 bed cover , Noun , AIG କାତ୍‌ ଦୁପଡ଼୍‌ 
 bed sheet , Noun , ଦୁପୋଡ଼୍‌ 
 bed stead , Noun , ବାଲାନ୍‌ ବେଢ଼ିୟା କାଟୁଲ୍‌ 
 bedding , Noun , ପାଡ଼୍‌ କା ସାମା 
 bedroom , Noun , ପାଟ୍ଟାନାଙ୍କ୍‌ ଗାତ୍‌ 
 beds ina garden , Noun , ପେଟୁମ୍‌ 
 bee , Noun , ପେରେଞ୍ଜିସି 
 beef , Noun , ଗଡାଙ୍ଗ 
 bees , Noun , QBS BNE 
 before , Adverb , ମୁନେ 
 beg , Verb , ତାଲ୍‌ ପା 
 beggar , Noun , ତାଲ୍‌ ପି ତିନ୍ଦାନୋଣ୍ଡ 
 beggars , Noun , ଡ଼ମାରୀର୍‌ 
 beginning , Noun , AQ AIR 
 begot , Noun , ପୁଟ୍‌ କିଶ୍‌ ତୋନ୍‌ 
 behaviour , Noun , ଆଚରଣ 
 behind , Preposition , ପଛରେ 
 being awake , Verb , ଜାଗା 
 being obscene , Adjective , ଆର୍ପମିନ୍ଦେ 
 belching , Noun , ଡାକୁଆ 
 bell , Noun , ଘଣ୍ଟି 
 bell to sound , Intransitive verb , ଘଣ୍ଟା ବଜିବା 
 bell tree , Noun , ମାଡ଼ ମାରା 
 bellows , Noun , ବାଯିଶେ ଗିର୍କା 
 belly , Noun , ପେଟ 
 beloved , Adverb , ପ୍ରେମି ତେ 
 below , Adposition , ତଳେ 
 below standard , Adverb , ନିମ୍ନ ମାନକ ଅନୁଯ୍ୟତାପୂର୍ଣ 
 belt on for head , Noun , ଟିକିଡ ପାଟା 
 bench , Noun , ବାଁଚ 
 bend(rope) , Verb , ଉଲ୍ଟିବା ଜାତୀ 
 bend(stick) , Verb , ଉଭାଇବା ଜାତୀ 
 bending(rod) , Verb , ମଡ଼ଣିବା ଜାତୀ 
,,
 benediction , Noun , Biel 
 beneficial , Adjective , ଲାବାମ୍‌ 
 benefit , Noun , ସାୟାମ୍‌ 
 benevolence , Noun , କିଙ୍କ୍‌ ସାୟାମ୍‌ ମାଡ଼ାନାଦ୍‌ 
 berry , Noun , ଆଲୁବ 
 berth , Noun , ପଡ଼ିୟ୍‌ ଟ୍ରେନ୍‌ ତା AIG GIR 
 beside , Coordinating connective , ତୋଣ୍ଟେ 
 besides , Adverb , AGI ମାଲ୍‌ ଲା 
 betel leaf , Noun , ପାନ୍‌ ଆକ୍‌ କି 
 betray , Verb , OR AA ନାମ୍‌ ମି ମାନ୍ଦୋନ୍‌ GE ତୋପିଶି AQ ଶି ଭଦାନାଦ୍‌ 
 between , Adposition , ନାଟୃମେ 
 beware , Verb , ନେୟ୍‌ ମେସ୍ମା 
 bewilderment , Verb , କାଣ୍ଡ କିଙ୍‌ ତ୍‌ ଓଶ୍‌ ତୋଣ୍ଡ 
 bid , Verb , ନୀଲମ୍‌ 
 bid in a chit or a lottery , Noun , କାଲିୟି ଜେତିବା 
 bier , Noun , ଗର୍ବଦାନା 
 big , Adjective , 6@9QI 
 big drops , Noun , ବାର୍ରା ବଢ଼ା 
 big rope , Noun , ଜୋରା 
 bigotry , Noun , ଦାର୍ମାମ୍‌ ତ୍‌ ପ୍ରତିଷ୍ଠା 
" bill hook, chopper ", Noun , କାଛାଚେର୍‌ ବାଣ୍ା 
 billhook , Noun , କାର୍‌ 
