English Word,Part of Speech,Odia Translation
 basket , Noun , କୁଲ୍‌ ଲା 
 basket made with bark , Noun , ସୋମ୍‌ 
 basket small size , Noun , ଟାଟ୍‌ 
 basket used for storing cow dung , Noun , ପେଣ୍ଢା ଟାଟ୍‌ 
 bat bird , Noun , ଗାବିଲି ପିଟେ 
 bath room , Noun , ଏର୍‌ ପୁନ୍ଦାଙ୍କ୍‌ ଗାତ୍‌ 
 bathe , Verb , WQ Qal 
 bay weaver bird , Noun , ଜାକ୍‌ କା ଗଳ 
 be , Verb ," ଆଦାନାଦ୍‌,ମାନ୍‌ "
 be angry , Verb , କୋପାମ୍‌ 
 be careful , Adverb , ଚେତୁର୍‌ ମାନ୍‌ 
 be cleaved(split) , Verb , ତାଲା AI ତାନାଦ୍‌ 
 be cooled , Adjective , GR ତା 
 be employed , Adjective , AIGA ମାଡ଼ାନାଦ୍‌ 
 be extinct , Verb , ପିଭାନାଦ୍‌ 
 be struck , Verb ," କୋୟେ ଇର୍କିଭା,ଗିଭା "
 be there , Verb , ମାନ୍ଦାନାଦ୍‌ 
 be times , Adverb , ଟୀକ୍‌ ସାମାୟାମ୍‌ ତେ 
 beak , Noun , ମୁସ୍‌ କିଡ଼୍‌ 
 beans , Noun , ଅଗେ କାୟା 
 bear , Noun , NIG ଜ୍‌ 
 bear back , Noun , ପେର୍କେ ଜାର୍ଗାନାଙ୍କ୍‌ ଇଦାନାଦ୍‌ 
 bear down , Verb , ଅଡ଼ି ଆନ୍ଦାନାଦ୍‌ 
 bear on , Verb , ସାମ୍ାନ୍ଦାମ୍‌ ତାସାନାଦ୍‌ 
 bear through , Verb , ତାର୍ରି ଆନ୍ଦାନାଦ୍‌ 
 bear up , Verb , ମେଦୁଲ୍‌ କଟେ ମାନ୍ଦାନାଦ୍‌ 
" bear,sustain ", Transitive , 
 verb , Noun , ଏଡ଼ସ୍‌ ମାନ୍ଦାନାଦ୍‌ 
 beard , Noun , ଗାଡମ୍‌ 
 bearded man , Noun , ଗାଡମ୍ପାନ୍ଦାନୋଣ୍ଡ 
 beast , Noun , ଗାଗା ଜୀଞା ଜନ୍ତୁ 
 beat the drum , Verb , ଡଲା ଏନ୍ଦାଟ୍‌ 
 GIG , Noun , ସାନାଦ୍‌ 
" beating, slap ", Noun , ଓାଡ଼ସ୍‌ ପାନାଦ୍‌ 
 beatitude , Noun , ନାର୍ଗେ ସୁକ୍‌ କାମ୍‌ 
 beautiful , Adjective , ସୋକ୍‌ ସାୟାମ୍‌ 
 beauty mark , Noun , eq 
 became tired , Adjective , ଆୟ୍‌ Gel 
 because , Connective , ବାତ୍‌ କ୍‌ ME କେ 
 because of , Subordinating Connective , ଆଦିଙ୍କ ମାଇଦିଂ 
 become , Verb , ଆସ ମିନ୍ଦେ 
 become contracted , Adjective , AR କାମ୍‌ ମୁର୍‌ ତୁଙ୍ଗାନାଦ୍‌ 
 become flat , Noun , ଲୋଟ୍‌ Ale 
 become weak , Adjective , AQ a ଆନ୍ଦାନାଦ୍‌ 
 become wormy , Verb , ପାଣିକୁଲି ଆତ୍‌ 
 becoming fat , Adjective , ବାଲସ୍‌ ତଣ୍ଡ 
 bed , Noun , ପୋଲଙ୍କ୍‌ କାଟୁଲ୍‌ 
 bed cover , Noun , AIG କାତ୍‌ ଦୁପଡ଼୍‌ 
 bed sheet , Noun , ଦୁପୋଡ଼୍‌ 
 bed stead , Noun , ବାଲାନ୍‌ ବେଢ଼ିୟା କାଟୁଲ୍‌ 
 bedding , Noun , ପାଡ଼୍‌ କା ସାମା 
 bedroom , Noun , ପାଟ୍ଟାନାଙ୍କ୍‌ ଗାତ୍‌ 
 beds ina garden , Noun           , ପେଟୁମ୍‌         
 bee           , Noun           , GABAA            
 beef          , Noun           , ଗଡାଙ୍ଗ         
 bees          , Noun           , QBS BNE          
 before        , Adverb         , ମୁନେ            
 beg           , Verb           , ତାଲ୍‌ ପା        
 beggar        , Noun           , ତାଲ୍‌ ପି ତିନ୍ଦାନୋଣ୍ଡ 
 beggars       , Noun           , ଡ଼ମାରୀର୍‌       
 beginning     , Noun           , AQ AIR           
 begot         , ୮୮/୮୨.         , ପୁଟ୍‌ କିଶ୍‌ ତୋନ୍‌ 
 behaviour     , Noun           , g@               
 behind        , Preposition    , 6AQ କେ         
 being awake   , Verb           , ଉଶ୍‌ କାଡ଼      
 @Q            ,                , ଗିତା            
 being obscene , Adjective      , ଆର୍ପମିନ୍ଦେ      
 belching      , Noun           , ଏକାନାଦ୍‌        
 bell          , Noun           , ଗାଣ୍ଟା          
 bell to sound Jntransitive , verb           , ନେଙ୍କାନାଦ୍‌        
 bell tree     , Noun           , ମାଡ଼ ମାରା      
 bellows       , Noun           ," ଗିର୍କା,ଗାଲ୍‌ ଆତ୍‌ "
 ACAD          ,                ,                  
 belly         , Noun           , ବତ୍ତା ଡକା       
 beloved       , Adverb         , ପ୍ରେମା ତେ ମାନ୍ଦାନ୍‌ 
 below         , Adposition     , ଆଡ଼ିଗି         
 below standard , Adverb         , AIG କାରାପ୍‌ ତୋଣ୍ଡ 
 belt on for head , Noun           , ଟିକିଡ ପାପ୍‌ ପିଡ଼ dal 
 bench         , Noun           , ବାଲ୍ଲା          
 bend(rope)    , Verb           , AGQ ଉଭାନାଦ୍‌     
 bend(stick)   , Verb           , ଉଭାନାଦ୍‌        
 bending(rod)  , Verb           , ଓାଇିଂସାନାଦ୍‌    
 benediction , Noun , ବିଏଲ 
 beneficial , Adjective , ଲାବାମ୍‌ 
 benefit , Noun , ସାୟାମ୍‌ 
 benevolence , Noun , 686Q UGB କିଙ୍କ୍‌ ସାୟାମ୍‌ ମାଡ଼ାନାଦ୍‌ 
 berry , Noun , @@ ଆଲ 
 berth , Noun , ଟ୍ରେନ୍‌ ତା ଏଗି ଗିର ପଡ଼ିୟ୍‌ 
 beside , Coordinating connective , ତୋଣ୍ଟରେ 
 besides , Adverb , ଆଗି ମାଲ୍‌ ଲା 
 betel leaf , Noun , ପାନ୍‌ ଆକ୍‌ କି 
 betray , Verb , ଓର୍ ଆ ନାମ୍‌ ମି ମାନ୍ଦୋନ୍‌ ଗେ ତୋପିଶି ଆକାଡାନାଦ୍‌ ଶିଭଦାନାଦ୍‌ 
 between , Adposition , ନାଡ଼ୂମେ 
